model,split,task_id,target_tool,invoked,solved,invocation_without_success,process,response,judge_error,either_uncertain,n_calls,n_gold_calls,target_has_2xx,target_has_non_2xx,target_has_local_error,empty_final,rollout_error,missing_parameter_crash,output_keys_crash,parse_crash,run_source,judge_source
original,T_r,"Open Government, New South Wales::1",listCategories,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,ip-fast.com::0,getUserIpInfo,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,ip-fast.com::1,getUserIpInfo,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Feedbin::0,getUserFeeds,True,False,True,No,Yes,False,False,1,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Feedbin::1,getUserFeeds,True,False,True,No,No,False,False,3,5,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Shrtlnk::0,getShortUrlInfo,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Shrtlnk::1,manageLinksByTag,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,EPA::0,getAirQualityByZipCode,True,False,True,Uncertain,Uncertain,False,True,2,1,True,True,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,EPA::1,getDetails,False,False,False,No,No,False,False,2,2,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Domainsdb.info::0,searchDomains,True,True,False,Yes,Yes,False,False,3,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Domainsdb.info::1,searchDomains,True,False,True,No,No,False,False,1,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Postman Echo::0,getEcho,True,False,True,No,No,False,False,8,1,False,True,False,True,Could not parse LLM output: `The user.`,False,False,True,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Postman Echo::1,patchEcho,True,False,True,No,No,False,False,5,1,False,True,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,CircleCI::0,getWorkflowDetails,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,CircleCI::1,getEnvironmentDetails,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Universalis::0,getCurrentPrices,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Universalis::1,getHistoricalPrices,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,SpaceX::0,getCompanyInfo,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,SpaceX::1,getLaunch,True,False,True,No,No,False,False,1,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Bible-api::0,getVerse,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Bible-api::1,getVersions,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,"Open Government, Italy::0",getProvinces,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,"Open Government, Italy::1",getPublicSpending,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Czech National Bank::0,listAvailableCurrencies,True,False,True,No,No,False,False,1,3,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Czech National Bank::1,getHistoricalExchangeRates,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Lexigram::0,getClinicalConceptDetails,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Lexigram::1,normalizeClinicalData,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Line::0,socialPlugins,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Line::1,getDetails,False,False,False,No,No,False,False,1,2,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,ZipRecruiter::0,searchJobs,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,ZipRecruiter::1,searchJobs,False,False,False,No,No,False,False,1,2,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,APIs.guru::0,searchAPIs,True,False,True,No,No,False,False,2,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,APIs.guru::1,searchAPIs,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,arXiv::0,search,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,arXiv::1,search,True,False,True,No,No,False,False,1,3,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Bitbucket::0,createRepository,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Bitbucket::1,createPullRequest,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Wallhaven::0,getPopularWallpapers,True,False,True,Yes,No,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Wallhaven::1,searchWallpapers,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Freelancer::0,searchFreelancers,True,False,True,Uncertain,Uncertain,False,True,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Freelancer::1,searchFreelancers,True,False,True,Uncertain,Uncertain,True,True,4,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Vadivelu HTTP Codes::0,getHttpCode,True,True,False,Yes,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Vadivelu HTTP Codes::1,getHttpCode,True,False,True,No,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Micro DB::0,deleteData,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Micro DB::1,insertData,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Phone Specification::0,searchPhones,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Phone Specification::1,searchPhones,True,False,True,No,No,False,False,1,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Mono::0,listBanks,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Mono::1,getTransactionHistory,True,False,True,No,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,PostalPinCode::0,searchByState,True,True,False,Yes,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,PostalPinCode::1,searchByState,True,False,True,No,No,False,False,2,4,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,"Open Government, Switzerland::0",getWeatherForecast,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,"Open Government, Switzerland::1",getCrimeStatistics,True,True,False,Yes,Yes,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Tokopedia::0,trackOrder,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Tokopedia::1,searchProducts,True,False,True,Yes,No,False,False,2,1,True,True,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Blockchain::0,getDetails,False,False,False,No,No,False,False,2,3,False,False,False,True,"Could not parse LLM output: `The user's transaction history includes a transaction with a block height of 856742, a time of 1724245536, inputs from addresses bc1q7m3k9v2x4p8s6d0f5n3r2c1b8a6z4y5t7u9i0, 1Kq6Jp8mV3nR5sT7wX2yZ9aBcDeFgHiJkL, and 3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5, outputs to addresses bc1q4j7s8d2k5m9n3p6r0t1v8x2c5z7y4w6u9i3o, 1BoatSLRHtKNngkd XEeobR76b53LETtpyT, and 3J98t1WpEZ73CNmQviecrnyiWrnqRhWNLy, and a fee of 0`",False,False,True,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Blockchain::1,createWallet,True,False,True,No,No,False,False,3,5,False,True,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,openFDA::0,searchRecalls,True,False,True,No,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,openFDA::1,getRecallById,False,False,False,No,No,False,False,1,1,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,NetworkCalc::0,generatePassword,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,NetworkCalc::1,binaryToDecimal,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Namedays Calendar::0,listCountries,True,False,True,Yes,No,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Namedays Calendar::1,getAllNamedaysByCountry,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Alpha Vantage::0,getForexData,True,False,True,No,No,False,False,2,5,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Alpha Vantage::1,getCryptoData,True,False,True,Yes,No,False,False,2,2,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Open Page Rank::0,getPageRank,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Open Page Rank::1,searchWebsite,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,WeatherAPI::0,getCurrentWeather,True,False,True,Yes,No,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,WeatherAPI::1,getCurrentWeather,False,False,False,Uncertain,Uncertain,False,True,1,1,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Danbooru Anime::0,getWork,True,False,True,Uncertain,Uncertain,False,True,1,4,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Danbooru Anime::1,searchArtists,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Dogs::0,getDetails,False,False,False,No,No,False,False,1,2,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Dogs::1,multipleImages,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,OpenStreetMap::0,getDetails,False,False,False,No,No,False,False,6,3,False,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,OpenStreetMap::1,geocoding,True,True,False,Yes,Yes,False,False,1,1,True,False,False,False,,False,False,False,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
original,T_r,Chainlink::0,createOracle,False,False,False,No,No,False,False,5,3,False,False,False,True,"Could not parse LLM output: `I need to request data from the API in a valid JSON format.
ASSISTANT Action: requestData`",False,False,True,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/original/T_r/B0.json,/projects/standard/mhong/shared/jiajunr/full_react_3way_luna_p0/luna/original_T_r_luna.json
